DATE,DPCREDIT
3/9/2022,0.25
3/10/2022,0.25
3/11/2022,0.25
3/14/2022,0.25
3/15/2022,0.25
3/16/2022,0.25
3/17/2022,0.5
3/18/2022,0.5
3/21/2022,0.5
3/22/2022,0.5
3/23/2022,0.5
3/24/2022,0.5
3/25/2022,0.5
3/28/2022,0.5
3/29/2022,0.5
3/30/2022,0.5
3/31/2022,0.5
4/1/2022,0.5
4/4/2022,0.5
4/5/2022,0.5
4/6/2022,0.5
4/7/2022,0.5
4/8/2022,0.5
4/11/2022,0.5
4/12/2022,0.5
4/13/2022,0.5
4/14/2022,0.5
4/15/2022,0.5
4/18/2022,0.5
4/19/2022,0.5
4/20/2022,0.5
4/21/2022,0.5
4/22/2022,0.5
4/25/2022,0.5
4/26/2022,0.5
4/27/2022,0.5
4/28/2022,0.5
4/29/2022,0.5
5/2/2022,0.5
5/3/2022,0.5
5/4/2022,0.5
5/5/2022,1
5/6/2022,1
5/9/2022,1
5/10/2022,1
5/11/2022,1
5/12/2022,1
5/13/2022,1
5/16/2022,1
5/17/2022,1
5/18/2022,1
5/19/2022,1
5/20/2022,1
5/23/2022,1
5/24/2022,1
5/25/2022,1
5/26/2022,1
5/27/2022,1
5/30/2022,1
5/31/2022,1
6/1/2022,1
6/2/2022,1
6/3/2022,1
6/6/2022,1
6/7/2022,1
6/8/2022,1
6/9/2022,1
6/10/2022,1
6/13/2022,1
6/14/2022,1
6/15/2022,1
6/16/2022,1.75
6/17/2022,1.75
6/20/2022,1.75
6/21/2022,1.75
6/22/2022,1.75
6/23/2022,1.75
6/24/2022,1.75
6/27/2022,1.75
6/28/2022,1.75
6/29/2022,1.75
6/30/2022,1.75
7/1/2022,1.75
7/4/2022,1.75
7/5/2022,1.75
7/6/2022,1.75
7/7/2022,1.75
7/8/2022,1.75
7/11/2022,1.75
7/12/2022,1.75
7/13/2022,1.75
7/14/2022,1.75
7/15/2022,1.75
7/18/2022,1.75
7/19/2022,1.75
7/20/2022,1.75
7/21/2022,1.75
7/22/2022,1.75
7/25/2022,1.75
7/26/2022,1.75
7/27/2022,1.75
7/28/2022,2.5
7/29/2022,2.5
8/1/2022,2.5
8/2/2022,2.5
8/3/2022,2.5
8/4/2022,2.5
8/5/2022,2.5
8/8/2022,2.5
8/9/2022,2.5
8/10/2022,2.5
8/11/2022,2.5
8/12/2022,2.5
8/15/2022,2.5
8/16/2022,2.5
8/17/2022,2.5
8/18/2022,2.5
8/19/2022,2.5
8/22/2022,2.5
8/23/2022,2.5
8/24/2022,2.5
8/25/2022,2.5
8/26/2022,2.5
8/29/2022,2.5
8/30/2022,2.5
8/31/2022,2.5
9/1/2022,2.5
9/2/2022,2.5
9/5/2022,2.5
9/6/2022,2.5
9/7/2022,2.5
9/8/2022,2.5
9/9/2022,2.5
9/12/2022,2.5
9/13/2022,2.5
9/14/2022,2.5
9/15/2022,2.5
9/16/2022,2.5
9/19/2022,2.5
9/20/2022,2.5
9/21/2022,2.5
9/22/2022,3.25
9/23/2022,3.25
9/26/2022,3.25
9/27/2022,3.25
9/28/2022,3.25
9/29/2022,3.25
9/30/2022,3.25
10/3/2022,3.25
10/4/2022,3.25
10/5/2022,3.25
10/6/2022,3.25
10/7/2022,3.25
10/10/2022,3.25
10/11/2022,3.25
10/12/2022,3.25
10/13/2022,3.25
10/14/2022,3.25
10/17/2022,3.25
10/18/2022,3.25
